name,idevent,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
flusha,3055;1270,3055,1270,194,150,1.29,0.8,126,44,24,22,1.09,1.01,58.30%,9.70%,117,81,27,15,3,0,164,5,0,22,3,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=1270
flusha,3055;1333,3055,1333,144,113,1.27,0.88,83,31,18,14,1.29,1.07,72.20%,15.10%,81,44,25,11,3,0,104,6,2,27,5,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=1333
flusha,3055;1444,3055,1444,224,164,1.37,0.81,143,60,19,16,1.19,0.92,52.60%,6.80%,132,88,35,16,3,1,171,6,9,30,8,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=1444
flusha,3055;1553,3055,1553,97,73,1.33,0.82,59,24,12,3,4,1.13,91.70%,15.30%,60,33,18,4,4,0,85,0,0,9,3,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=1553
flusha,3055;1611,3055,1611,171,139,1.23,0.73,115,32,15,18,0.83,0.86,86.70%,9.20%,119,76,26,10,3,0,100,5,9,45,7,5,https://www.hltv.org/stats/players/individual/3055/flusha?event=1611
flusha,3055;1617,3055,1617,133,121,1.1,0.77,81,12,18,10,1.8,1.09,94.40%,19.30%,92,50,15,12,3,1,79,9,10,26,9,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=1617
flusha,3055;1666,3055,1666,199,116,1.72,0.91,128,83,21,15,1.4,1.03,85.70%,13.10%,91,74,39,13,2,0,139,5,15,39,1,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=1666
flusha,3055;2027,3055,2027,107,96,1.11,0.68,76,11,13,14,0.93,0.93,61.50%,9.80%,81,49,23,4,0,0,65,2,14,25,1,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=2027
flusha,3055;2062,3055,2062,151,124,1.22,0.74,96,27,13,13,1,0.88,84.60%,9.20%,109,59,23,10,4,0,76,12,27,34,3,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=2062
flusha,3055;2471,3055,2471,92,86,1.07,0.73,63,6,11,13,0.85,0.93,81.80%,14.80%,63,41,15,7,0,0,63,4,9,15,1,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=2471
flusha,3055;2720,3055,2720,127,136,0.93,0.64,89,-9,14,20,0.7,0.85,50.00%,7.10%,108,59,23,6,1,0,78,8,8,31,2,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=2720
flusha,3055;3247,3055,3247,144,132,1.09,0.69,102,12,21,13,1.62,1.06,85.70%,16.20%,108,71,20,11,0,0,86,4,26,25,4,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=3247
flusha,3055;3564,3055,3564,89,136,0.65,0.5,66,-47,18,27,0.67,0.92,61.10%,14.70%,111,47,15,4,0,0,46,2,25,12,4,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=3564
flusha,3055;3883,3055,3883,133,122,1.09,0.77,85,11,19,11,1.73,1.11,68.40%,15.30%,87,49,27,6,3,0,78,7,28,16,4,0,https://www.hltv.org/stats/players/individual/3055/flusha?event=3883
pashaBiceps,317;1270,317,1270,55,50,1.1,0.74,39,5,6,5,1.2,0.96,66.70%,12.10%,35,25,12,2,0,0,40,5,2,8,0,0,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=1270
pashaBiceps,317;1333,317,1333,215,140,1.54,0.91,133,75,36,15,2.4,1.33,88.90%,21.60%,102,81,29,18,4,1,124,43,4,37,6,1,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=1333
pashaBiceps,317;1444,317,1444,101,90,1.12,0.75,65,11,24,15,1.6,1.38,79.20%,25.70%,69,41,16,6,1,1,50,32,0,19,0,0,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=1444
pashaBiceps,317;1553,317,1553,138,99,1.39,0.8,88,39,26,20,1.3,1.23,92.30%,22.40%,85,50,29,6,3,0,61,44,0,26,4,3,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=1553
pashaBiceps,317;1611,317,1611,132,117,1.13,0.73,95,15,24,19,1.26,1.15,75.00%,17.00%,86,61,32,1,1,0,47,59,0,23,3,0,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=1611
pashaBiceps,317;1617,317,1617,88,87,1.01,0.74,61,1,13,6,2.17,1.13,76.90%,16.10%,58,40,17,2,2,0,63,4,0,17,1,3,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=1617
pashaBiceps,317;1666,317,1666,108,120,0.9,0.62,72,-12,21,21,1,1.07,81.00%,16.80%,102,46,20,2,4,0,67,1,21,13,2,4,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=1666
pashaBiceps,317;2027,317,2027,132,145,0.91,0.66,88,-13,20,25,0.8,0.96,75.00%,14.90%,111,49,34,5,0,0,86,11,6,19,3,7,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=2027
pashaBiceps,317;2062,317,2062,136,142,0.96,0.65,91,-6,24,20,1.2,1.08,83.30%,18.90%,118,61,17,11,2,0,75,28,3,25,1,5,https://www.hltv.org/stats/players/individual/317/pashaBiceps?event=2062
