name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link,name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
TeSeS,Denmark,Heroic,11,292,-7,0.96,0.99,BLAST.tv Paris Major 2023,6793,RenÃ© 'TeSeS' Madsen,12018,https://www.hltv.org/player/12018/teses,TeSeS,12018,6973,127,120,1.06,0.69,90,7,17,21,0.81,0.94,88.20%,13.60%,93,60,24,5,1,0,93,0,18,16,0,0,https://www.hltv.org/stats/players/individual/12018/TeSeS?event=6973
rain,Norway,FaZe,13,357,-36,0.86,0.99,BLAST.tv Paris Major 2023,6793,HÃ¥vard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain,rain,8183,6973,140,151,0.93,0.59,97,-11,33,35,0.94,1.12,81.80%,20.10%,139,65,22,9,1,0,104,1,4,27,5,0,https://www.hltv.org/stats/players/individual/8183/rain?event=6973
Goofy,Poland,9INE,4,104,-7,0.91,0.97,BLAST.tv Paris Major 2023,6793,Krzysztof 'Goofy' GÃ³rski,15428,https://www.hltv.org/player/15428/goofy,Goofy,15428,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/15428/Goofy?event=6973
KSCERATO,Brazil,FURIA,4,94,-7,0.88,0.97,BLAST.tv Paris Major 2023,6793,Kaike 'KSCERATO' Cerato,15631,https://www.hltv.org/player/15631/kscerato,KSCERATO,15631,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/15631/KSCERATO?event=6973
rigoN,Switzerland,Bad News Eagles,6,161,-19,0.85,0.96,BLAST.tv Paris Major 2023,6793,Rigon 'rigoN' Gashi,12708,https://www.hltv.org/player/12708/rigon,rigoN,12708,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/12708/rigoN?event=6973
roeJ,Denmark,fnatic,9,253,-28,0.85,0.94,BLAST.tv Paris Major 2023,6793,Fredrik 'roeJ' JÃ¸rgensen,14419,https://www.hltv.org/player/14419/roej,roeJ,14419,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/14419/roeJ?event=6973
sinnopsyy,Kosovo,Bad News Eagles,6,161,-7,0.94,0.94,BLAST.tv Paris Major 2023,6793,Dionis 'sinnopsyy' Budeci,18120,https://www.hltv.org/player/18120/sinnopsyy,sinnopsyy,18120,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18120/sinnopsyy?event=6973
STYKO,Slovakia,Apeks,11,303,-27,0.88,0.94,BLAST.tv Paris Major 2023,6793,Martin 'STYKO' Styk,6904,https://www.hltv.org/player/6904/styko,STYKO,6904,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/6904/STYKO?event=6973
KRIMZ,Sweden,fnatic,9,253,-10,0.94,0.94,BLAST.tv Paris Major 2023,6793,Freddy 'KRIMZ' Johansson,7528,https://www.hltv.org/player/7528/krimz,KRIMZ,7528,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/7528/KRIMZ?event=6973
jL,Lithuania,Apeks,11,303,-35,0.84,0.94,BLAST.tv Paris Major 2023,6793,Justinas 'jL' Lekavicius,19206,https://www.hltv.org/player/19206/jl,jL,19206,6973,209,213,0.98,0.64,144,-4,38,28,1.36,1.1,76.30%,17.90%,183,94,38,9,3,0,161,3,12,30,3,0,https://www.hltv.org/stats/players/individual/19206/jL?event=6973
