Name,Full name,Player ID,Full link,Multiple
EspiranTo,Rokas 'EspiranTo' Milasauskas,12030,https://www.hltv.org/player/12030/espiranto,False
chrisJ,Chris 'chrisJ' de Jong,2730,https://www.hltv.org/player/2730/chrisj,False
Gratisfaction,Sean 'Gratisfaction' Kaiwai,9686,https://www.hltv.org/player/9686/gratisfaction,False
RpK,Cédric 'RpK' Guipouy,7169,https://www.hltv.org/player/7169/rpk,False
SANJI,Sanjar 'SANJI' Kuliev,11716,https://www.hltv.org/player/7169/rpk,False
Aerial,Jani 'Aerial' Jussila,4076,https://www.hltv.org/player/4076/aerial,True
kennyS,Kenny 'kennyS' Schrub,7167,https://www.hltv.org/player/7167/kennys,True
AZR,Aaron 'AZR' Ward,8082,https://www.hltv.org/player/8082/azr,True
xseveN,Sami 'xseveN' Laasanen,7248,https://www.hltv.org/player/7248/xseven,False
Zeus,Danylo 'Zeus' Teslenko,484,https://www.hltv.org/player/484/zeus,True
JUGi,Jakob 'JUGi' Hansen,8783,https://www.hltv.org/player/8783/jugi,True
Ethan,Ethan 'Ethan' Arnold,10671,https://www.hltv.org/player/10671/ethan,True
Lekr0,Jonas 'Lekr0' Olofsson,9261,https://www.hltv.org/player/9261/lekr0,False
NEO,Filip 'NEO' Kubski,165,https://www.hltv.org/player/9261/lekr0,True
AdreN,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren,True
GuardiaN,Ladislav 'GuardiaN' Kovács,2757,https://www.hltv.org/player/2757/guardian,True
LUCAS1,Lucas 'LUCAS1' Teles,8566,https://www.hltv.org/player/8566/lucas1,False
TACO,Epitacio 'TACO' de Melo,9217,https://www.hltv.org/player/9217/taco,True
NBK-,Nathan 'NBK-' Schmitt,7168,https://www.hltv.org/player/7168/nbk,False
svyat,Svyatoslav 'svyat' Dovbakh,12016,https://www.hltv.org/player/12016/svyat,False
LETN1,Nestor 'LETN1' Tanić,4216,https://www.hltv.org/player/12016/svyat,False
speed4k,Anton 'speed4k' Titov,13155,https://www.hltv.org/player/13155/speed4k,False
GeT_RiGhT,Christopher 'GeT_RiGhT' Alesund,39,https://www.hltv.org/player/39/get-right,True
kinqie,Semyon 'kinqie' Lisitsyn,3459,https://www.hltv.org/player/3459/kinqie,False
Golden,Maikil 'Golden' Selim,11110,https://www.hltv.org/player/11110/golden,True
zews,Wilton 'zews' Prado,6608,https://www.hltv.org/player/6608/zews,True
f0rest,Patrik 'f0rest' Lindberg,29,https://www.hltv.org/player/29/f0rest,True
coldzera,Marcelo 'coldzera' David,9216,https://www.hltv.org/player/9216/coldzera,True
flusha,Robin 'flusha' Rönnquist,3055,https://www.hltv.org/player/3055/flusha,True
autimatic,Timothy 'autimatic' Ta,8735,https://www.hltv.org/player/8735/autimatic,False
nex,Nemanja 'nexa' Isaković,9618,https://www.hltv.org/player/9618/nexa,True
Edward,Ioann 'Edward' Sukhariev,483,https://www.hltv.org/player/483/edward,True
kioShiMa,Fabien 'kioShiMa' Fiey,4959,https://www.hltv.org/player/4959/kioshima,True
ShahZaM,Shahzeb 'ShahZaM' Khan,7810,https://www.hltv.org/player/7810/shahzam,True
ISSAA,Issa 'ISSAA' Murad,10449,https://www.hltv.org/player/10449/issaa,False
XANTARES,Ismailcan 'XANTARES' Dörtkardeş,7938,https://www.hltv.org/player/7938/xantares,True
RUSH,William 'RUSH' Wierzba,7805,https://www.hltv.org/player/7805/rush,True
felps,João 'felps' Vasconcellos,9219,https://www.hltv.org/player/9219/felps,False
FugLy,Jacob 'FugLy' Medina,8522,https://www.hltv.org/player/8522/fugly,False
Rickeh,Ricardo 'Rickeh' Mulholland,8745,https://www.hltv.org/player/8745/rickeh,False
n0thing,Jordan 'n0thing' Gilbert,203,https://www.hltv.org/player/203/n0thing,True
dephh,Rory 'dephh' Jackson,7873,https://www.hltv.org/player/203/n0thing,False
gob b,Fatih 'gob b' Dayik,136,https://www.hltv.org/player/203/n0thing,False
bodyy,Alexandre 'bodyy' Pianaro,8374,https://www.hltv.org/player/8374/bodyy,False
dennis,Dennis 'dennis' Edman,1146,https://www.hltv.org/player/1146/dennis,True
Zellsis,Jordan 'Zellsis' Montemurro,13188,https://www.hltv.org/player/13188/zellsis,False
KrizzeN,Aidyn 'KrizzeN' Turlybekov,12161,https://www.hltv.org/player/12161/krizzen,False
daps,Damian 'daps' Steele,8521,https://www.hltv.org/player/12161/krizzen,False
fitch,Bektiyar 'fitch' Bahytov,10052,https://www.hltv.org/player/10052/fitch,False
DeadFox,Bence 'DeadFox' Böröcz,8716,https://www.hltv.org/player/8716/deadfox,False
ANGE1,Kirill 'ANGE1' Karasiow,339,https://www.hltv.org/player/339/ange1,False
smooya,Owen 'smooya' Butterfield,11271,https://www.hltv.org/player/11271/smooya,True
suNny,Miikka 'suNny' Kemppi,5479,https://www.hltv.org/player/5479/sunny,True
bondik,Vladyslav 'bondik' Nechyporchuk,2131,https://www.hltv.org/player/2131/bondik,False
BnTeT,Hansel 'BnTeT' Ferdinand,7131,https://www.hltv.org/player/7131/bntet,False
tonyblack,Anton 'tonyblack' Kolesnikov,1950,https://www.hltv.org/player/1950/tonyblack,False
ANDROID,Bradley 'ANDROID' Fodor,9043,https://www.hltv.org/player/9043/android,False
Skadoodle,Tyler 'Skadoodle' Latham,7440,https://www.hltv.org/player/7440/skadoodle,True
yay,YangYang 'ayaya' Zheng,10186,https://www.hltv.org/player/10186/ayaya,True
Kvik,Aurimas 'Kvik' Kvakšys,8459,https://www.hltv.org/player/8459/kvik,False
jR,Guilherme 'piriajr' Barbosa,18714,https://www.hltv.org/player/18714/piriajr,True
DD,Andreas 'MODDII' Fridh,545,https://www.hltv.org/player/545/moddii,True
xccurate,Kevin 'xccurate' Susanto,10263,https://www.hltv.org/player/10263/xccurate,False
draken,William 'draken' Sundin,9255,https://www.hltv.org/player/9255/draken,True
JW,Jesper 'JW' Wecksell,3849,https://www.hltv.org/player/3849/jw,True
jmqa,Savelii 'jmqa' Bragin,8368,https://www.hltv.org/player/8368/jmqa,False
oskar,Tomáš 'oskar' Šťastný,798,https://www.hltv.org/player/798/oskar,True
Xizt,Richard 'Xizt' Landström,884,https://www.hltv.org/player/798/oskar,False
crush,Igor 'crush' Shevchenko,9348,https://www.hltv.org/player/798/oskar,True
SmithZz,Edouard 'SmithZz' Dubourdeaux,7170,https://www.hltv.org/player/7170/smithzz,False
balblna,Gregory 'balblna' Oleinick,8294,https://www.hltv.org/player/8294/balblna,False
waterfaLLZ,Nikita 'waterfaLLZ' Matveyev,8727,https://www.hltv.org/player/8727/waterfallz,False
hutji,Pavel 'hutji' Lashkov,8790,https://www.hltv.org/player/8790/hutji,False
Ex6TenZ,Kévin 'Ex6TenZ' Droolans,7166,https://www.hltv.org/player/7166/ex6tenz,False
Snax,Janusz 'Snax' Pogorzelski,2553,https://www.hltv.org/player/2553/snax,True
somebody,HaoWen 'somebody' Xu,8605,https://www.hltv.org/player/8605/somebody,True
captainMo,Ke 'captainMo' Liu,5187,https://www.hltv.org/player/5187/captainmo,False
Dosia,Mihail 'Dosia' Stolyarov,735,https://www.hltv.org/player/735/dosia,True
paz,Ahmet 'paz' Karahoca,9353,https://www.hltv.org/player/9353/paz,True
MAJ3R,Engin 'MAJ3R' Küpeli,150,https://www.hltv.org/player/150/maj3r,False
Calyx,Buğra 'Calyx' Arkın,8575,https://www.hltv.org/player/8575/calyx,True
jdm64,Josh 'jdm64' Marzano,8346,https://www.hltv.org/player/8346/jdm64,False
mou,Rustem 'mou' Telepov,964,https://www.hltv.org/player/964/mou,True
MSL,Mathias 'MSL' Lauridsen,7156,https://www.hltv.org/player/7156/msl,True
LEGIJA,Nikola 'LEGIJA' Ninić,3252,https://www.hltv.org/player/3252/legija,False
keev,Kevin 'keev' Bartholomäus,5799,https://www.hltv.org/player/5799/keev,False
keshandr,Sergey 'keshandr' Nikishin,8788,https://www.hltv.org/player/8788/keshandr,False
ngiN,Ilya 'Ganginho' Chernichenko,19913,https://www.hltv.org/player/19913/ganginho,True
mir,Nikolay 'mir' Bityukov,8789,https://www.hltv.org/player/8789/mir,True
cajunb,René 'cajunb' Borg,2469,https://www.hltv.org/player/2469/cajunb,True
byali,Paweł 'byali' Bieliński,5386,https://www.hltv.org/player/5386/byali,False
TaZ,Wiktor 'TaZ' Wojtas,161,https://www.hltv.org/player/161/taz,True
pashaBiceps,Jarosław 'pashaBiceps' Jarząbkowski,317,https://www.hltv.org/player/317/pashabiceps,True
kNgV-,Vito 'kNgV-' Giuseppe,5736,https://www.hltv.org/player/5736/kngv,False
HEN1,Henrique 'HEN1' Teles,8565,https://www.hltv.org/player/8565/hen1,False
zehN,Jesse 'zehN' Linjala,1378,https://www.hltv.org/player/1378/zehn,False
denis,Denis 'denis' Howell,7511,https://www.hltv.org/player/7511/denis,True
wayLander,Jan 'wayLander' Rahkonen,7796,https://www.hltv.org/player/7796/waylander,False
steel,Lucas 'steel' Lopes,7382,https://www.hltv.org/player/7382/steel,True
HS,Kevin 'HS' Tarn,8994,https://www.hltv.org/player/8994/hs,True
kRYSTAL,Kevin 'kRYSTAL' Amend,7218,https://www.hltv.org/player/8994/hs,True
markeloff,Yegor 'markeloff' Markelov,338,https://www.hltv.org/player/338/markeloff,True
loWel,Christian 'loWel' Garcia Antoran,3997,https://www.hltv.org/player/3997/lowel,False
WorldEdit,Georgi 'WorldEdit' Yaskin,7403,https://www.hltv.org/player/7403/worldedit,False
innocent,Paweł 'innocent' Mocek,3669,https://www.hltv.org/player/3669/innocent,True
seized,Denis 'seized' Kostin,3347,https://www.hltv.org/player/3347/seized,True
shroud,Mike 'shroud' Grzesiek,8349,https://www.hltv.org/player/8349/shroud,False
B1ad3,Andrey 'B1ad3' Gorodenskiy,472,https://www.hltv.org/player/8349/shroud,True
fox,Bence 'DeadFox' Böröcz,8716,https://www.hltv.org/player/8716/deadfox,True
twist,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz,True
Pimp,Jacob 'Pimp' Winneche,7154,https://www.hltv.org/player/7154/pimp,True
RUBINO,Ruben 'RUBINO' Villarroel,1485,https://www.hltv.org/player/1485/rubino,False
mixwell,Oscar 'mixwell' Cañellas,8370,https://www.hltv.org/player/8370/mixwell,False
znajder,Andreas 'znajder' Lindberg,3847,https://www.hltv.org/player/3847/znajder,False
Hiko,Spencer 'Hiko' Martin,2644,https://www.hltv.org/player/2644/hiko,True
Happy,Vincent 'Happy' Schopenhauer,7429,https://www.hltv.org/player/7429/happy,True
Zero,Ermek 'enzero' Kartanbaev,15983,https://www.hltv.org/player/15983/enzero,True
disco doplan,Joakim 'disco doplan' Gidetun,9256,https://www.hltv.org/player/9256/disco-doplan,False
SIXER,Christophe 'SIXER' Xia,147,https://www.hltv.org/player/147/sixer,False
ScreaM,Adil 'ScreaM' Benrlitom,7390,https://www.hltv.org/player/7390/scream,True
pronax,Markus 'pronax' Wallsten,41,https://www.hltv.org/player/41/pronax,True
Spiidi,Timo 'Spiidi' Richter,7499,https://www.hltv.org/player/7499/spiidi,False
pyth,Jacob 'pyth' Mourujärvi,7527,https://www.hltv.org/player/7527/pyth,True
hazed,James 'hazed' Cobb,8347,https://www.hltv.org/player/8347/hazed,True
spaze,Ivan 'spaze' Obrezhan,8345,https://www.hltv.org/player/8345/spaze,False
TENZKI,Jesper 'TENZKI' Plougmann,5287,https://www.hltv.org/player/8345/spaze,False
pita,Faruk 'pita' Pita,434,https://www.hltv.org/player/8345/spaze,True
Shara,Oleksandr 'Shara' Hordieyev,1866,https://www.hltv.org/player/8345/spaze,True
friberg,Adam 'friberg' Friberg,7148,https://www.hltv.org/player/7148/friberg,True
reltuC,Stephen 'reltuC' Cutler,8137,https://www.hltv.org/player/8137/reltuc,False
hooch,Dmitry 'hooch' Bogdanov,499,https://www.hltv.org/player/8137/reltuc,True
zonic,Danny 'zonic' Sørensen,21,https://www.hltv.org/player/8137/reltuc,True
koosta,Kenneth 'koosta' Suen,9056,https://www.hltv.org/player/9056/koosta,False
DEVIL,Jonatan 'Devilwalk' Lundberg,7378,https://www.hltv.org/player/9056/koosta,True
