name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
yuurih,12553,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/12553/yuurih?event=6973
Snappi,922,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/922/Snappi?event=6973
npl,21708,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/21708/npl?event=6973
mynio,4829,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/4829/mynio?event=6973
saffee,18835,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18835/saffee?event=6973
KEi,17504,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/17504/KEi?event=6973
drop,19750,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19750/drop?event=6973
sh1ro,16920,6586,159,96,1.66,0.83,104,63,28,10,2.8,1.31,75.0%,20.6%,87,60,34,9,1,0,38,94,9,17,2,0,https://www.hltv.org/stats/players/individual/16920/sh1ro?event=6586
KSCERATO,15631,6586,210,145,1.45,0.81,129,65,34,17,2.0,1.21,85.3%,19.6%,130,72,36,18,3,0,168,3,6,26,8,0,https://www.hltv.org/stats/players/individual/15631/KSCERATO?event=6586
Jame,13776,6586,244,146,1.67,0.78,165,98,41,18,2.28,1.22,78.0%,17.5%,149,105,44,13,3,0,35,171,12,22,4,1,https://www.hltv.org/stats/players/individual/13776/Jame?event=6586
FL1T,12732,6586,249,185,1.35,0.79,170,64,41,33,1.24,1.14,75.6%,16.9%,144,111,42,15,1,1,211,0,10,23,5,0,https://www.hltv.org/stats/players/individual/12732/FL1T?event=6586
fame,20101,6586,242,179,1.35,0.77,156,63,46,30,1.53,1.24,87.0%,21.9%,158,97,38,15,6,0,206,1,2,30,4,1,https://www.hltv.org/stats/players/individual/20101/fame?event=6586
Zyphon,20090,6586,141,108,1.31,0.92,83,33,13,13,1.0,0.95,61.5%,12.3%,71,39,31,12,1,0,113,1,2,22,3,0,https://www.hltv.org/stats/players/individual/20090/Zyphon?event=6586
w0nderful,20127,6586,207,147,1.41,0.77,139,60,23,11,2.09,1.03,78.3%,12.8%,130,86,42,7,4,0,57,109,3,32,6,1,https://www.hltv.org/stats/players/individual/20127/w0nderful?event=6586
s1mple,7998,6586,217,175,1.24,0.76,145,42,37,24,1.54,1.17,83.8%,20.3%,142,90,40,13,2,0,80,96,3,36,3,0,https://www.hltv.org/stats/players/individual/7998/s1mple?event=6586
SunPayus,19164,6586,153,118,1.3,0.77,102,35,32,11,2.91,1.38,62.5%,21.3%,98,66,23,11,2,0,52,67,7,25,2,2,https://www.hltv.org/stats/players/individual/19164/SunPayus?event=6586
ropz,11816,6586,118,101,1.17,0.77,80,17,26,18,1.44,1.32,65.4%,23.6%,73,47,28,5,0,0,96,1,5,15,1,0,https://www.hltv.org/stats/players/individual/11816/ropz?event=6586
frozen,9960,6586,242,193,1.25,0.67,159,49,25,27,0.93,0.89,88.0%,12.4%,200,97,43,17,2,0,205,0,1,30,6,3,https://www.hltv.org/stats/players/individual/9960/frozen?event=6586
yuurih,12553,6586,184,150,1.23,0.71,118,34,20,12,1.67,0.98,55.0%,7.4%,141,71,35,7,3,2,150,0,3,30,1,1,https://www.hltv.org/stats/players/individual/12553/yuurih?event=6586
Twistzz,10394,6586,107,92,1.16,0.7,67,15,13,14,0.93,0.94,84.6%,15.3%,86,39,19,7,1,1,89,1,0,16,1,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=6586
Perfecto,16947,6586,198,172,1.15,0.69,128,26,21,11,1.91,0.97,76.2%,10.5%,159,75,40,9,4,0,149,2,8,33,6,0,https://www.hltv.org/stats/players/individual/16947/Perfecto?event=6586
cadiaN,7964,6586,240,208,1.15,0.69,162,32,42,27,1.56,1.14,85.7%,20.3%,185,99,52,8,2,1,65,110,19,40,5,1,https://www.hltv.org/stats/players/individual/7964/cadiaN?event=6586
Ax1Le,16555,6586,127,125,1.02,0.66,83,2,20,16,1.25,1.05,80.0%,15.7%,108,48,28,5,2,0,96,3,7,22,1,0,https://www.hltv.org/stats/players/individual/16555/Ax1Le?event=6586
Patsi,19673,6586,188,191,0.98,0.7,132,-3,40,35,1.14,1.19,67.5%,19.1%,137,90,30,10,2,0,148,8,8,23,1,1,https://www.hltv.org/stats/players/individual/19673/Patsi?event=6586
magixx,18317,6586,184,174,1.06,0.68,128,10,34,21,1.62,1.17,70.6%,17.0%,141,94,17,12,5,0,134,2,8,38,2,0,https://www.hltv.org/stats/players/individual/18317/magixx?event=6586
electroNic,8918,6586,203,194,1.05,0.71,140,9,40,47,0.85,1.09,77.5%,20.3%,147,83,51,6,0,0,173,0,9,19,3,0,https://www.hltv.org/stats/players/individual/8918/electroNic?event=6586
ZywOo,11893,6586,119,103,1.16,0.72,83,16,15,9,1.67,1.03,60.0%,11.1%,83,54,23,5,1,0,26,66,3,21,3,2,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=6586
HObbit,8528,6586,133,137,0.97,0.7,85,-4,25,24,1.04,1.11,80.0%,19.6%,106,51,24,6,4,0,100,0,10,20,3,0,https://www.hltv.org/stats/players/individual/8528/HObbit?event=6586
nafany,16921,6586,133,129,1.03,0.70,84,4,20,31,0.65,0.92,90.0%,17.6%,107,46,30,6,1,1,110,1,6,14,2,0,https://www.hltv.org/stats/players/individual/16921/nafany?event=6586
