name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link
Twistzz,Canada,FaZe,5,153,15,1.16,1.13,IEM Rio Major 2022,6586,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz
Perfecto,Russia,Natus Vincere,10,287,26,1.15,1.12,IEM Rio Major 2022,6586,Ilya 'Perfecto' Zalutskiy,16947,https://www.hltv.org/player/16947/perfecto
cadiaN,Denmark,Heroic,14,347,32,1.15,1.12,IEM Rio Major 2022,6586,Casper 'cadiaN' MÃ¸ller,7964,https://www.hltv.org/player/7964/cadian
Ax1Le,Russia,Cloud9,7,191,2,1.02,1.12,IEM Rio Major 2022,6586,Sergey 'Ax1Le' Rykhtorov,16555,https://www.hltv.org/player/16555/ax1le
Patsi,Russia,Spirit,10,269,-3,0.98,1.1,IEM Rio Major 2022,6586,Robert 'Patsi' Isyanov,19673,https://www.hltv.org/player/19673/patsi
magixx,Russia,Spirit,10,269,10,1.06,1.1,IEM Rio Major 2022,6586,Boris 'magixx' Vorobiev,18317,https://www.hltv.org/player/18317/magixx
electroNic,Russia,Natus Vincere,10,287,9,1.05,1.09,IEM Rio Major 2022,6586,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic
ZywOo,France,Vitality,5,166,16,1.16,1.08,IEM Rio Major 2022,6586,Mathieu 'ZywOo' Herbaut,11893,https://www.hltv.org/player/11893/zywoo
HObbit,Kazakhstan,Cloud9,7,191,-4,0.97,1.08,IEM Rio Major 2022,6586,Abay 'HObbit' Khassenov,8528,https://www.hltv.org/player/8528/hobbit
NAF,Canada,Liquid,9,224,13,1.1,1.07,IEM Rio Major 2022,6586,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf
nafany,Russia,Cloud9,7,191,4,1.03,1.07,IEM Rio Major 2022,6586,Vladislav 'nafany' Gorshkov,16921,https://www.hltv.org/player/16921/nafany
saffee,Brazil,FURIA,10,259,16,1.1,1.07,IEM Rio Major 2022,6586,Rafael 'saffee' Costa,18835,https://www.hltv.org/player/18835/saffee
mezii,United Kingdom,fnatic,7,174,5,1.05,1.07,IEM Rio Major 2022,6586,William 'mezii' Merriman,18462,https://www.hltv.org/player/18462/mezii
drop,Brazil,FURIA,10,259,4,1.02,1.06,IEM Rio Major 2022,6586,AndrÃ© 'drop' Abreu,19750,https://www.hltv.org/player/19750/drop
chopper,Russia,Spirit,10,269,15,1.09,1.06,IEM Rio Major 2022,6586,Leonid 'chopper' Vishnyakov,7716,https://www.hltv.org/player/7716/chopper
stavn,Denmark,Heroic,14,347,3,1.01,1.06,IEM Rio Major 2022,6586,Martin 'stavn' Lund,10994,https://www.hltv.org/player/10994/stavn
FASHR,Netherlands,fnatic,7,174,3,1.03,1.05,IEM Rio Major 2022,6586,Dion 'FASHR' Derksen,11954,https://www.hltv.org/player/11954/fashr
dupreeh,Denmark,Vitality,5,166,1,1.01,1.05,IEM Rio Major 2022,6586,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh
KRIMZ,Sweden,fnatic,7,174,2,1.02,1.05,IEM Rio Major 2022,6586,Freddy 'KRIMZ' Johansson,7528,https://www.hltv.org/player/7528/krimz
b1t,Ukraine,Natus Vincere,10,287,8,1.05,1.04,IEM Rio Major 2022,6586,Valeriy 'b1t' Vakhovskiy,18987,https://www.hltv.org/player/18987/b1t
oSee,United States,Liquid,9,224,15,1.11,1.04,IEM Rio Major 2022,6586,Josh 'oSee' Ohm,13249,https://www.hltv.org/player/13249/osee
n0rb3r7,Russia,Outsiders,12,314,13,1.07,1.04,IEM Rio Major 2022,6586,David 'n0rb3r7' Danielyan,16612,https://www.hltv.org/player/16612/n0rb3r7
hampus,Sweden,Ninjas in Pyjamas,4,114,2,1.03,1.03,IEM Rio Major 2022,6586,Hampus 'hampus' Poser,9766,https://www.hltv.org/player/9766/hampus
Magisk,Denmark,Vitality,5,166,-11,0.91,1.02,IEM Rio Major 2022,6586,Emil 'Magisk' Reif,9032,https://www.hltv.org/player/9032/magisk
arT,Brazil,FURIA,10,259,-11,0.94,1.02,IEM Rio Major 2022,6586,Andrei 'arT' Piovezan,12521,https://www.hltv.org/player/12521/art
sdy,Ukraine,Natus Vincere,10,287,-5,0.97,1.01,IEM Rio Major 2022,6586,Viktor 'sdy' Orudzhev,12731,https://www.hltv.org/player/12731/sdy
sjuush,Denmark,Heroic,14,347,-19,0.92,1.01,IEM Rio Major 2022,6586,Rasmus 'sjuush' Beck,14148,https://www.hltv.org/player/14148/sjuush
roeJ,Denmark,fnatic,7,174,-17,0.86,1.01,IEM Rio Major 2022,6586,Fredrik 'roeJ' JÃ¸rgensen,14419,https://www.hltv.org/player/14419/roej
jabbi,Denmark,Heroic,14,347,-7,0.97,1.01,IEM Rio Major 2022,6586,Jakob 'jabbi' Nygaard,17956,https://www.hltv.org/player/17956/jabbi
k1to,Germany,BIG,8,205,-10,0.93,1.0,IEM Rio Major 2022,6586,Nils 'k1to' Gruhne,12781,https://www.hltv.org/player/12781/k1to
YEKINDAR,Latvia,Liquid,9,224,-8,0.95,1.0,IEM Rio Major 2022,6586,Mareks 'YEKINDAR' GaÄ¼inskis,13915,https://www.hltv.org/player/13915/yekindar
s1ren,Russia,Spirit,10,269,-8,0.95,1.0,IEM Rio Major 2022,6586,Pavel 's1ren' Ogloblin,18506,https://www.hltv.org/player/18506/s1ren
Staehr,Denmark,Sprout,6,154,-15,0.87,1.0,IEM Rio Major 2022,6586,Victor 'Staehr' Staehr,20304,https://www.hltv.org/player/20304/staehr
nicoodoz,Denmark,fnatic,7,174,-5,0.96,1.0,IEM Rio Major 2022,6586,Nico 'nicoodoz' Tamjidi,13602,https://www.hltv.org/player/13602/nicoodoz
syrsoN,Germany,BIG,8,205,1,1.01,0.99,IEM Rio Major 2022,6586,Florian 'syrsoN' Rische,7266,https://www.hltv.org/player/7266/syrson
valde,Denmark,ENCE,8,200,-11,0.92,0.99,IEM Rio Major 2022,6586,Valdemar 'valde' BjÃ¸rn VangsÃ¥,9031,https://www.hltv.org/player/9031/valde
dycha,Poland,ENCE,8,200,-7,0.95,0.99,IEM Rio Major 2022,6586,PaweÅ‚ 'dycha' Dycha,16080,https://www.hltv.org/player/16080/dycha
torzsi,Hungary,MOUZ,14,359,-2,0.99,0.98,IEM Rio Major 2022,6586,ÃdÃ¡m 'torzsi' TorzsÃ¡s,18072,https://www.hltv.org/player/18072/torzsi
EliGE,United States,Liquid,9,224,-6,0.96,0.98,IEM Rio Major 2022,6586,Jonathan 'EliGE' Jablonowski,8738,https://www.hltv.org/player/8738/elige
TeSeS,Denmark,Heroic,14,347,-21,0.91,0.98,IEM Rio Major 2022,6586,RenÃ© 'TeSeS' Madsen,12018,https://www.hltv.org/player/12018/teses
rain,Norway,FaZe,5,153,-13,0.87,0.98,IEM Rio Major 2022,6586,HÃ¥vard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain
s1n,Germany,BIG,8,205,-23,0.84,0.97,IEM Rio Major 2022,6586,Elias 's1n' Stein,20104,https://www.hltv.org/player/20104/s1n
Spinx,Israel,Vitality,5,166,-2,0.98,0.97,IEM Rio Major 2022,6586,Lotan 'Spinx' Giladi,18221,https://www.hltv.org/player/18221/spinx
Aleksib,Finland,Ninjas in Pyjamas,4,114,-10,0.87,0.97,IEM Rio Major 2022,6586,Aleksi 'Aleksib' Virolainen,9816,https://www.hltv.org/player/9816/aleksib
Krimbo,Germany,BIG,8,205,-8,0.94,0.96,IEM Rio Major 2022,6586,Karim 'Krimbo' Moussa,19899,https://www.hltv.org/player/19899/krimbo
Maden,Montenegro,ENCE,8,200,-16,0.89,0.95,IEM Rio Major 2022,6586,Pavle 'Maden' BoÅ¡koviÄ‡,11777,https://www.hltv.org/player/11777/maden
broky,Latvia,FaZe,5,153,0,1.0,0.95,IEM Rio Major 2022,6586,Helvijs 'broky' Saukants,18053,https://www.hltv.org/player/18053/broky
es3tag,Denmark,Ninjas in Pyjamas,4,114,-9,0.89,0.94,IEM Rio Major 2022,6586,Patrick 'es3tag' Hansen,8611,https://www.hltv.org/player/8611/es3tag
Qikert,Kazakhstan,Outsiders,12,314,-49,0.75,0.94,IEM Rio Major 2022,6586,Alexey 'Qikert' Golubev,13239,https://www.hltv.org/player/13239/qikert
xertioN,Israel,MOUZ,14,359,-38,0.84,0.94,IEM Rio Major 2022,6586,Dorian 'xertioN' Berman,20312,https://www.hltv.org/player/20312/xertion
REZ,Sweden,Ninjas in Pyjamas,4,114,-4,0.95,0.93,IEM Rio Major 2022,6586,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez
JDC,Germany,MOUZ,14,359,-36,0.85,0.92,IEM Rio Major 2022,6586,Jon 'JDC' de Castro,14929,https://www.hltv.org/player/14929/jdc
juanflatroo,Kosovo,Bad News Eagles,7,192,-20,0.86,0.92,IEM Rio Major 2022,6586,Flatron 'juanflatroo' Halimi,17147,https://www.hltv.org/player/17147/juanflatroo
