Name,Full name,Player ID,Full link
XANTARES,Ismailcan 'XANTARES' DÃ¶rtkardeÅŸ,7938,https://www.hltv.org/player/7938/xantares
RUSH,William 'RUSH' Wierzba,7805,https://www.hltv.org/player/7805/rush
felps,JoÃ£o 'felps' Vasconcellos,9219,https://www.hltv.org/player/9219/felps
FugLy,Jacob 'FugLy' Medina,8522,https://www.hltv.org/player/8522/fugly
Rickeh,Ricardo 'Rickeh' Mulholland,8745,https://www.hltv.org/player/8745/rickeh
n0thing,Jordan 'n0thing' Gilbert,203,https://www.hltv.org/player/203/n0thing
dephh,Rory 'dephh' Jackson,7873,https://www.hltv.org/player/203/n0thing
gob b,Fatih 'gob b' Dayik,136,https://www.hltv.org/player/136/gob-b
bodyy,Alexandre 'bodyy' Pianaro,8374,https://www.hltv.org/player/8374/bodyy
dennis,Dennis 'dennis' Edman,1146,https://www.hltv.org/player/1146/dennis
Zellsis,Jordan 'Zellsis' Montemurro,13188,https://www.hltv.org/player/13188/zellsis
KrizzeN,Aidyn 'KrizzeN' Turlybekov,12161,https://www.hltv.org/player/12161/krizzen
daps,Damian 'daps' Steele,8521,https://www.hltv.org/player/8521/daps
fitch,Bektiyar 'fitch' Bahytov,10052,https://www.hltv.org/player/10052/fitch
DeadFox,Bence 'DeadFox' BÃ¶rÃ¶cz,8716,https://www.hltv.org/player/8716/deadfox
ANGE1,Kirill 'ANGE1' Karasiow,339,https://www.hltv.org/player/339/ange1
smooya,Owen 'smooya' Butterfield,11271,https://www.hltv.org/player/11271/smooya
suNny,Miikka 'suNny' Kemppi,5479,https://www.hltv.org/player/5479/sunny
bondik,Vladyslav 'bondik' Nechyporchuk,2131,https://www.hltv.org/player/2131/bondik
BnTeT,Hansel 'BnTeT' Ferdinand,7131,https://www.hltv.org/player/7131/bntet
tonyblack,Anton 'tonyblack' Kolesnikov,1950,https://www.hltv.org/player/1950/tonyblack
ANDROID,Bradley 'ANDROID' Fodor,9043,https://www.hltv.org/player/9043/android
Skadoodle,Tyler 'Skadoodle' Latham,7440,https://www.hltv.org/player/7440/skadoodle
yay,YangYang 'ayaya' Zheng,10186,https://www.hltv.org/player/10186/ayaya
Kvik,Aurimas 'Kvik' KvakÅ¡ys,8459,https://www.hltv.org/player/8459/kvik
jR,Guilherme 'piriajr' Barbosa,18714,https://www.hltv.org/player/18714/piriajr
DD,Andreas 'MODDII' Fridh,545,https://www.hltv.org/player/545/moddii
xccurate,Kevin 'xccurate' Susanto,10263,https://www.hltv.org/player/10263/xccurate
draken,William 'draken' Sundin,9255,https://www.hltv.org/player/9255/draken
JW,Jesper 'JW' Wecksell,3849,https://www.hltv.org/player/3849/jw
jmqa,Savelii 'jmqa' Bragin,8368,https://www.hltv.org/player/8368/jmqa
oskar,TomÃ¡Å¡ 'oskar' Å Å¥astnÃ½,798,https://www.hltv.org/player/798/oskar
Xizt,Richard 'Xizt' LandstrÃ¶m,884,https://www.hltv.org/player/884/xizt
crush,Igor 'crush' Shevchenko,9348,https://www.hltv.org/player/9348/crush
SmithZz,Edouard 'SmithZz' Dubourdeaux,7170,https://www.hltv.org/player/7170/smithzz
balblna,Gregory 'balblna' Oleinick,8294,https://www.hltv.org/player/8294/balblna
waterfaLLZ,Nikita 'waterfaLLZ' Matveyev,8727,https://www.hltv.org/player/8727/waterfallz
hutji,Pavel 'hutji' Lashkov,8790,https://www.hltv.org/player/8790/hutji
Ex6TenZ,KÃ©vin 'Ex6TenZ' Droolans,7166,https://www.hltv.org/player/7166/ex6tenz
Snax,Janusz 'Snax' Pogorzelski,2553,https://www.hltv.org/player/2553/snax
somebody,HaoWen 'somebody' Xu,8605,https://www.hltv.org/player/8605/somebody
captainMo,Ke 'captainMo' Liu,5187,https://www.hltv.org/player/5187/captainmo
Dosia,Mihail 'Dosia' Stolyarov,735,https://www.hltv.org/player/735/dosia
paz,Ahmet 'paz' Karahoca,9353,https://www.hltv.org/player/9353/paz
MAJ3R,Engin 'MAJ3R' KÃ¼peli,150,https://www.hltv.org/player/150/maj3r
Calyx,BuÄŸra 'Calyx' ArkÄ±n,8575,https://www.hltv.org/player/8575/calyx
jdm64,Josh 'jdm64' Marzano,8346,https://www.hltv.org/player/8346/jdm64
mou,Rustem 'mou' Telepov,964,https://www.hltv.org/player/964/mou
MSL,Mathias 'MSL' Lauridsen,7156,https://www.hltv.org/player/7156/msl
LEGIJA,Nikola 'LEGIJA' NiniÄ‡,3252,https://www.hltv.org/player/3252/legija
keev,Kevin 'keev' BartholomÃ¤us,5799,https://www.hltv.org/player/5799/keev
keshandr,Sergey 'keshandr' Nikishin,8788,https://www.hltv.org/player/8788/keshandr
ngiN,Ilya 'Ganginho' Chernichenko,19913,https://www.hltv.org/player/19913/ganginho
mir,Nikolay 'mir' Bityukov,8789,https://www.hltv.org/player/8789/mir
cajunb,RenÃ© 'cajunb' Borg,2469,https://www.hltv.org/player/2469/cajunb
byali,PaweÅ‚ 'byali' BieliÅ„ski,5386,https://www.hltv.org/player/5386/byali
TaZ,Wiktor 'TaZ' Wojtas,161,https://www.hltv.org/player/161/taz
pashaBiceps,JarosÅ‚aw 'pashaBiceps' JarzÄ…bkowski,317,https://www.hltv.org/player/317/pashabiceps
kNgV-,Vito 'kNgV-' Giuseppe,5736,https://www.hltv.org/player/5736/kngv
HEN1,Henrique 'HEN1' Teles,8565,https://www.hltv.org/player/8565/hen1
zehN,Jesse 'zehN' Linjala,1378,https://www.hltv.org/player/1378/zehn
denis,Denis 'denis' Howell,7511,https://www.hltv.org/player/7511/denis
wayLander,Jan 'wayLander' Rahkonen,7796,https://www.hltv.org/player/7796/waylander
steel,Lucas 'steel' Lopes,7382,https://www.hltv.org/player/7382/steel
HS,Kevin 'HS' Tarn,8994,https://www.hltv.org/player/8994/hs
kRYSTAL,Kevin 'kRYSTAL' Amend,7218,https://www.hltv.org/player/7218/krystal
markeloff,Yegor 'markeloff' Markelov,338,https://www.hltv.org/player/338/markeloff
loWel,Christian 'loWel' Garcia Antoran,3997,https://www.hltv.org/player/3997/lowel
WorldEdit,Georgi 'WorldEdit' Yaskin,7403,https://www.hltv.org/player/7403/worldedit
innocent,PaweÅ‚ 'innocent' Mocek,3669,https://www.hltv.org/player/3669/innocent
seized,Denis 'seized' Kostin,3347,https://www.hltv.org/player/3347/seized
shroud,Mike 'shroud' Grzesiek,8349,https://www.hltv.org/player/8349/shroud
B1ad3,Andrey 'B1ad3' Gorodenskiy,472,https://www.hltv.org/player/472/b1ad3
fox,Ricardo 'fox' Pacheco,629,https://www.hltv.org/player/629/fox
twist,Simon 'twist' Eliasson,7443,https://www.hltv.org/player/7443/twist
Pimp,Jacob 'Pimp' Winneche,7154,https://www.hltv.org/player/7154/pimp
RUBINO,Ruben 'RUBINO' Villarroel,1485,https://www.hltv.org/player/1485/rubino
mixwell,Oscar 'mixwell' CaÃ±ellas,8370,https://www.hltv.org/player/8370/mixwell
znajder,Andreas 'znajder' Lindberg,3847,https://www.hltv.org/player/3847/znajder
Hiko,Spencer 'Hiko' Martin,2644,https://www.hltv.org/player/2644/hiko
Happy,Vincent 'Happy' Schopenhauer,7429,https://www.hltv.org/player/7429/happy
Zero,Patrik 'Zero' Žúdel,8413,https://www.hltv.org/player/8413/zero
disco doplan,Joakim 'disco doplan' Gidetun,9256,https://www.hltv.org/player/9256/disco-doplan
SIXER,Christophe 'SIXER' Xia,147,https://www.hltv.org/player/147/sixer
